date,pollster,election_year,party_letter,party_name,pct,seats,n,source_url,notes
2018-05-25,Gallup,2018,D,Sjálfstæðisflokkur,28.3,8,954,https://www.mbl.is/frettir/kosning/2018/05/25/sjalfstaedisflokkurinn_staerstur_i_borginni/,Fielded 22-25 May for RÚV; n adjusted for those who named a party
2018-05-25,Gallup,2018,S,Samfylking,26.0,7,954,https://www.mbl.is/frettir/kosning/2018/05/25/sjalfstaedisflokkurinn_staerstur_i_borginni/,
2018-05-25,Gallup,2018,P,Píratar,11.0,3,954,https://www.mbl.is/frettir/kosning/2018/05/25/sjalfstaedisflokkurinn_staerstur_i_borginni/,
2018-05-25,Gallup,2018,C,Viðreisn,8.7,2,954,https://www.mbl.is/frettir/kosning/2018/05/25/sjalfstaedisflokkurinn_staerstur_i_borginni/,
2018-05-25,Gallup,2018,V,Vinstri græn,6.2,1,954,https://www.mbl.is/frettir/kosning/2018/05/25/sjalfstaedisflokkurinn_staerstur_i_borginni/,
2018-05-25,Gallup,2018,M,Miðflokkur,5.8,1,954,https://www.mbl.is/frettir/kosning/2018/05/25/sjalfstaedisflokkurinn_staerstur_i_borginni/,
2018-05-25,Gallup,2018,F,Flokkur fólksins,3.8,1,954,https://www.mbl.is/frettir/kosning/2018/05/25/sjalfstaedisflokkurinn_staerstur_i_borginni/,
2018-05-25,Gallup,2018,J,Sósíalistaflokkur,3.4,0,954,https://www.mbl.is/frettir/kosning/2018/05/25/sjalfstaedisflokkurinn_staerstur_i_borginni/,
2018-05-25,Gallup,2018,B,Framsóknarflokkur,2.9,0,954,https://www.mbl.is/frettir/kosning/2018/05/25/sjalfstaedisflokkurinn_staerstur_i_borginni/,
2018-05-25,Gallup,2018,O,Aðrir flokkar,3.8,0,954,https://www.mbl.is/frettir/kosning/2018/05/25/sjalfstaedisflokkurinn_staerstur_i_borginni/,7 minor lists combined; source explicit 3.8%
2018-04-04,Gallup,2018,D,Sjálfstæðisflokkur,26.3,,1000,https://cdnx.gallup.is/media/documents/Puls_Fylgi_flokka_Reykjavik_web.pdf,From comparison chart in May 25 PDF; n estimated
2018-04-04,Gallup,2018,S,Samfylking,31.5,,1000,https://cdnx.gallup.is/media/documents/Puls_Fylgi_flokka_Reykjavik_web.pdf,
2018-04-04,Gallup,2018,P,Píratar,11.0,,1000,https://cdnx.gallup.is/media/documents/Puls_Fylgi_flokka_Reykjavik_web.pdf,
2018-04-04,Gallup,2018,V,Vinstri græn,10.5,,1000,https://cdnx.gallup.is/media/documents/Puls_Fylgi_flokka_Reykjavik_web.pdf,
2018-04-04,Gallup,2018,C,Viðreisn,7.7,,1000,https://cdnx.gallup.is/media/documents/Puls_Fylgi_flokka_Reykjavik_web.pdf,
2018-04-04,Gallup,2018,M,Miðflokkur,6.1,,1000,https://cdnx.gallup.is/media/documents/Puls_Fylgi_flokka_Reykjavik_web.pdf,
2018-04-04,Gallup,2018,F,Flokkur fólksins,3.2,,1000,https://cdnx.gallup.is/media/documents/Puls_Fylgi_flokka_Reykjavik_web.pdf,
2018-04-04,Gallup,2018,B,Framsóknarflokkur,3.1,,1000,https://cdnx.gallup.is/media/documents/Puls_Fylgi_flokka_Reykjavik_web.pdf,
2018-04-04,Gallup,2018,J,Sósíalistaflokkur,0.4,,1000,https://cdnx.gallup.is/media/documents/Puls_Fylgi_flokka_Reykjavik_web.pdf,
2018-04-04,Gallup,2018,O,Aðrir flokkar,0.7,,1000,https://cdnx.gallup.is/media/documents/Puls_Fylgi_flokka_Reykjavik_web.pdf,Kvennahreyfingin etc.
2018-05-03,Gallup,2018,D,Sjálfstæðisflokkur,25.9,,1000,https://cdnx.gallup.is/media/documents/Puls_Fylgi_flokka_Reykjavik_web.pdf,From comparison chart in May 25 PDF; n estimated
2018-05-03,Gallup,2018,S,Samfylking,27.8,,1000,https://cdnx.gallup.is/media/documents/Puls_Fylgi_flokka_Reykjavik_web.pdf,
